PROMOTOR-GESTOR;ACCES;TIPUS VELOCITAT;TIPUS CONNEXIÓ;LATITUD;LONGITUD;DESIGNACIÓ-DESCRIPTIVA;POTENCIA;TIPUS DE CORRENT;INDENTIFICADOR;ADREÇA;PROVINCIA;CODIPROV;MUNICIPI;NPLACES ESTACIÓ;TIPUS VEHICLE;Columna amb georeferència
;;;CCS Combo2+ChadeMO+MENNEKES.M;4101008;93888;EdRR Mont-Roig del Camp (DC50kW AC43kW) PIRVEC-31;50;AC-DC;PIRVEC-31;Avinguda del Mar, 21;Tarragona;43;Mont-Roig del Camp;;;POINT (0.93888 41.01008)
Ajuntament de Girona;VIA PUBLICA;NORMAL;Schuko;4,19815E+15;2,82323E+15;Girona- Pl.Catalunya (S-W);;;;Plaça Catalunya, 24;Girona;17;Girona;1;;POINT (2.823227494955063 41.98145668149892)
Abertis-saba;VIA PUBLICA;NORMAL;Schuko;41340072;2125827;Seu zona franca Saba;;;;Carrer numero Un;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.125827 41.340072)
Institut Català d'Energia i Ajuntament de Mataró;;semiRAPID;2xMENNEKES.F;4153969;242597;EdRsR Mataró Gatassa (AC22kW);22;AC;;Avinguda de la Gatassa, 130;Barcelona;8;Mataró;4;;POINT (2.42597 41.53969)
Institut Català d'Energia i Ajuntament de Lleida;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4160766;62231;EdRR Lleida (DC50kW AC43kW);50;AC-DC;PIRVEC-8;Carrer Jaume II, 73;Lleida;25;Lleida;2;cotxe;POINT (0.6223100000000001 41.60766)
IBIL;ESTACIÓ DE SERVEI (IBIL);RAPID;CCS Combo2+ChadeMO+MENNEKES.M;42025269;2865046;IBIL ES REPSOL-Celrà (DC50kW AC43kW);50;AC-DC;;Carretera C-66, km 30,5;Girona;17;Celrà;1;cotxe;POINT (2.865046 42.025269)
Vincipark;APARCAMENT PUBLIC;NORMAL;Schuko;41382694;2139639;Aparcament Vincipark Numància;;;;Carrer de Numància, 37;Barcelona;8;Barcelona;3;;POINT (2.139639 41.382694)
REGESA;APARCAMENT PUBLIC;NORMAL;Schuko;41306022;2005376;REGESA Torre Lluch;;;;Carrer del Centre, 3;Barcelona;8;Gavà;2;cotxe i moto;POINT (2.005376 41.306022000000006)
;;semiRAPID;2xMENNEKES.F;4128755;125847;EdRsR Valls (AC22kW);22;AC;;Carrer Prat de la Riba, 16;Tarragona;43;Valls;2;;POINT (1.25847 41.28755)
BIMSA;VIA PUBLICA;NORMAL;Schuko;41394501;2152312;Lateral-Mar Diagonal (Aribau-Enric Granados) 1;;;LC043;Avinguda Diagonal, 429;Barcelona;8;Barcelona;2;moto;POINT (2.152312 41.394501)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41426239;2143323;B:SM 37 - Sant Genís Vall d'Hebrón;;;BSM041;Passeig de la Vall d'Hebrón, 138-176;Barcelona;8;Barcelona;2;cotxe;POINT (2.143323 41.426239)
Endesa;VIA PUBLICA;NORMAL;Schuko;41393948;2156007;22 AjBCN-Endesa;;;LC003;Carrer de Còrsega, 264;Barcelona;8;Barcelona;2;moto;POINT (2.156007 41.393948)
;;semiRAPID i NORMAL;2xMENNEKES.F+Schuko;4114367;112927;EdRsR FiraReus (7.5kW);75;AC;;Avinguda Argentina;Tarragona;43;Reus;;;POINT (1.12927 41.14367)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;4213143;312174;TESLA Destinació - Hotel Empuries (11kW);11;AC;;Avinguda Pi i Llusà, Platja;Girona;17;Empuries;2;cotxe;POINT (3.12174 42.13143)
GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4140646;215223;EdRR-Torrent de l'Olla (DC50kW AC43kW);50;AC-DC;FC005;Carrer Torrent de l'Olla, 203;Barcelona;8;Barcelona;1;cotxe;POINT (2.15223 41.40646)
Ajuntament Montornès;VIA PUBLICA;NORMAL;MENNEKES.F+Schuko;41545427;2266663;Ajuntament Montornès;;;;Avinguda de la Llibertat, 2;Barcelona;8;Montornès del Vallès;2;cotxe i moto;POINT (2.266663 41.545427)
HOTEL MELIÀ SITGES;APARCAMENT PUBLIC;NORMAL;Schuko;4123712;182353;Hotel Melià Sitges;;;;Joan Salvat Papasseit, 38;Barcelona;8;Sitges;4;cotxe i moto;POINT (1.8235300000000003 41.23712)
AMERSAM;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41155844;1101972;Aparcament Oques;;;;Passeig de Sunyer, 5;Tarragona;43;Reus;4;cotxe i moto;POINT (1.101972 41.155844)
MEROIL;ESTACIÓ SERVEI;NORMAL;Schuko;41448;21883;Meroil Meridiana;;;;Avinguda Meridiana, 666;Barcelona;8;Barcelona;1;cotxe i moto;POINT (2.1883 41.448)
ESSER;ESTACIÓ DE SERVEI;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4162414;2675;EdRR ESSER Pineda (DC50kW AC43kW);50;AC-DC;;Carrer Carles I, 8;Barcelona;8;Pineda de Mar;2;;POINT (2.675 41.62414)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41459612;2175628;B:SM 42 - Ciutat Meridiana;;;BSM035;Carrer dels Rasos de Peguera, 51 S;Barcelona;8;Barcelona;3;cotxe o moto;POINT (2.175628 41.459612)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41405746;2162722;B:SM 28 - Plaça Joanic;;;BSM021;Carrer de l'Escorial, 1 - Pl. Joanic, 1;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.162722 41.405746)
AEB;VIA PUBLICA;NORMAL;Schuko;41381355;2129424;90 AjBCN-ETRA-COBRA Figols, Jardins Drs.Dolsa;;;LC011;Carrer de Fígols, 6;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.129424 41.381355)
;APARCAMENT PUBLIC;NORMAL;Schuko;4178188;183677;Aparcament Cal Llobet-Selba;;;;Carrer Roger de Flor, 11;Barcelona;8;Santpedor;;cotxe i moto;POINT (1.8367700000000002 41.78188)
Hotel MEDITERREAN LODGE L'Ampolla Resort;HOTEL;NORMAL;Schuko;408212;6887;Hotel MEDITERRANEAN LODGE L'Ampolla Resort;;;;Partida Mataret, 155;Tarragona;43;L'Ampolla;1;cotxe i moto;POINT (0.6887 40.8212)
;;semiRAPID i NORMAL;MENNEKES.F+Schuko;415067;214816;Fenie Ripollet;;;;Avinguda del Mediterrani, 2;Barcelona;8;Ripollet;2;cotxe i moto;POINT (2.14816 41.5067)
Parking Galvany;;NORMAL;Schuko i MENNEKES.F;4,1397E+14;2,14315E+14;Aparcament Galvany;;;;Carrer de Calaf, 28;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.14315306395292 41.3969749826735)
Endesa;VIA PUBLICA;NORMAL;Schuko;41397507;2119605;05 AjBCN-Endesa Domínguez Miralles- J.V.Foix;;;LC030;Avinguda Josep Vicenç Foix, 86;Barcelona;8;Barcelona;2;moto;POINT (2.119605 41.397507)
Institut Català d'Energia i Ajuntament de Roses;;semiRAPID i NORMAL;CCS Combo2+ChadeMO+MENNEKES.F;4226344;31787;EdRsR Roses (DC28kW AC22kW) PIRVEC-21;22;AC-DC;PIRVEC-21;Carrer de la Riera Ginjolers, 68;Girona;17;Roses;2;;POINT (3.1787 42.26344000000001)
EMPARK;APARCAMENT PUBLIC;NORMAL;Schuko;41118491;1246252;Aparcament EMPARK;;;;Rambla Nova, 124;Tarragona;43;Tarragona;1;cotxe i moto;POINT (1.246252 41.118491)
Ajuntament de Rubí;APARCAMENT PUBLIC;semiRAPID;MENNEKES+Schuko;41501781;2029948;EdRsR Rubí BRILLA-Can Serra (7.5kW);75;AC;;Carrer de Can Serra, 3;Barcelona;8;Rubí;7;cotxe i moto;POINT (2.029948 41.501781)
Camping Les Medes;APARCAMENT CAMPING;semiRAPID i NORMAL;MENNEKES.F+Schuko;4204324;318497;Camping Les Medes (AC22kW);22;AC;;Paratge Camp de l'arbre, s/n;Girona;17;L'Estartit;2;cotxe i moto;POINT (3.18497 42.04324)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41407211;2151497;B:SM 39 - Torrent de l'Olla;;;BSM002;Carrer del Torrent de l'Olla, 221;Barcelona;8;Barcelona;3;cotxe;POINT (2.151497 41.407211)
Aparcament Els Costals;APARCAMENT PUBLIC;NORMAL;Schuko;414741;198295;Aparcament Els Costals;;;;Avinguda de Pau Casals, 16;Barcelona;8;Castellbisbal;;cotxe i moto;POINT (1.9829500000000002 41.4741)
Ajuntament de Terrassa;APARCAMENT PUBLIC;NORMAL;Schuko;4156074;20064;Plaça Progrés-Cotxes;;;;Carrer Arquimedes, 155;Barcelona;8;Terrassa;3;moto;POINT (2.0064 41.56074)
;;semiRAPID;2xMENNEKES.F;4123965;18019;EdRsR Sitges (AC22kW);22;AC;;Carrer de Víctor Balaguer, 13;Barcelona;8;Sitges;2;cotxe i moto;POINT (1.8019000000000003 41.239650000000005)
GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;41401313;2122488;EdRR-Via Augusta-Bonanova (DC50kW AC43kW);50;AC-DC;FC002;Via Augusta, 352;Barcelona;8;Barcelona;1;cotxe;POINT (2.122488 41.401313)
Gintra-Ap.Plaça Granollers;APARCAMENT PUBLIC;NORMAL;Schuko;41540844099;243629352;Gintra-Ap.Plaça Granollers;;;;Camí de la Geganta, 117;Barcelona;8;Mataró;1;;POINT (2.43629352 41.540844099)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;4137532;2169709;B:SM 48 - Plaça Raquel Meyer - Paral·lel;;;BAMSA007;Carrer de l'Abat Safont, 2;Barcelona;8;Barcelona;1;cotxe;POINT (2.169709 41.37532)
Aparcament MERCOLLEIDA;APARCAMENT PUBLIC;NORMAL;Schuko;416192746;6,36889E+14;Aparcament MERCOLLEIDA;;;;Avinguda Tortosa,4;Lleida;25;Lleida;1;;POINT (0.6368893999999727 41.6192746)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;41388;217318;TESLA Destinació - Hotel H10 Cubik (22kW);22;AC;;Via Laietana, 69;Barcelona;8;Barcelona;1;cotxe;POINT (2.17318 41.388)
Ajuntament de Mataró;;semiRAPID;;4153882;244245;EdRsR Mataró Tereses (AC22kW);22;AC;;Plaça de les Tereses, 3-5;Barcelona;8;Mataró;2;;POINT (2.4424500000000005 41.53882)
AEB;VIA PUBLICA;NORMAL;Schuko;41406525;2152333;92 AjBCN-ETRA COBRA  Torrent de l'Olla;;;LC016;Carrer del Torrent de l'Olla, 222;Barcelona;8;Barcelona;2;moto;POINT (2.152333 41.406525)
;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;4125937;177389;EdRsR Sant Pere de Ribes 1 (AC22kW);22;AC;;Lluís Companys, 75;Barcelona;8;Sant Pere de Ribes;2;cotxe i moto;POINT (1.77389 41.25937)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;414092;21681;B:SM 18 - Marina Gracia;;;BSM025;Carrer de la Marina, 345;Barcelona;8;Barcelona;6;cotxe i moto;POINT (2.1681 41.4092)
VNG Charlie Rivel;APARCAMENT PUBLIC;NORMAL;Schuko;41220585799;1723097599;Aparcament Charlie Rivel;;;;Carrer del Pare Garí, 91;Barcelona;8;Vilanova i la Geltrú;2;cotxe i moto;POINT (1.723097599 41.220585799)
BIMSA;VIA PUBLICA;semiRAPID;MENNEKES;4139537;2153832;(eDUM) Lateral-Muntanya Diagonal (Balmes-Tusset) (7-12kW);75;AC;QC008;Avinguda Diagonal, 508;Barcelona;8;Barcelona;2;mercaderies;POINT (2.153832 41.39537)
;;superRAPID;TESLA;4149923;207282;TESLA Supercarregador - Sant Cugat del Vallès (120kW);120;DC;;Camí de Can Camps, 13;Barcelona;8;Sant Cugat del Vallés;7;cotxe;POINT (2.07282 41.49923)
;;semiRAPID;MENNEKES.M;4193088;225542;Aparcament Xarxa Comercial;;;;Plaça de Santa Clara, 6;Barcelona;8;Vic;1;cotxe i moto;POINT (2.25542 41.93088)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;414274;21772;B:SM 16 - Illa Borbó;;;BSM019;Carrer de Ramon Albó ,77;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.1772 41.4274)
GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4144128;216499;EdRR-Mercat Canyelles-Rda Dalt (DC50kW AC43kW);50;AC-DC;FC006;Via Favència, 21;Barcelona;8;Barcelona;1;cotxe;POINT (2.16499 41.441280000000006)
Ajuntament de Vic;VIA PUBLICA;NORMAL;Schuko;41933748;2248307;Rectorat Universitat VIC;;;;Carrer Miramarges, 4;Barcelona;8;Vic;2;moto;POINT (2.248307 41.933748)
Institut Català d'Energia i Ajuntament de Girona;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4196365;281488;EdRR Girona Sud -Quim Torra- (DC50kW AC43kW);50;AC-DC;PIRVEC-6;Carrer del Riu Cardener, 30;Girona;17;Girona;2;cotxe;POINT (2.81488 41.96365)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;413744;21597;B:SM 33 - Plaça Navas;;;BSM033;Carrer de Jaume Fabra, 12;Barcelona;8;Barcelona;5;cotxe i moto;POINT (2.1597 41.3744)
IBIL;ESTACIÓ DE SERVEI (IBIL);RAPID;CCS Combo2+ChadeMO+MENNEKES.M;41596529;2309376;IBIL-ES REPSOL C-352  (DC50kW AC43kW);50;AC-DC;;Carretera de Barcelona, C-352;Barcelona;8;La Roca del Vallès;1;cotxe;POINT (2.309376 41.596529)
Area Metropolitana de Barcelona;VIA PUBLICA (AMB);RAPID i NORMAL;CCS Combo2+ChadeMO+MENNEKES.M+shucko;4151058;213254;EdRR Barberà del Vallès (DC50kW AC43kW) AMB9;50;AC-DC;AMB9;Carrer d'Arquímedes, 4;Barcelona;8;Barberà del Vallès;2;;POINT (2.13254 41.51058)
Masià;APARCAMENT CLIENTS;NORMAL;Schuko;416995;23834;Masia Can Pau Filbà;;;;Masia aïllada;Barcelona;8;Sant Pere Vilamajor;2;cotxe i moto;POINT (2.3834 41.6995)
CC CARREFOUR MANRESA;APARCAMENT CC;NORMAL;Schuko;417227;18456;CC CARREFOUR MANRESA;;;;Carrer de Joan Fuster-Avinguda Països Catalans;Barcelona;8;Manresa;1;;POINT (1.8456 41.7227)
;;semiRAPID;2xMENNEKES.F;41079048;1132352;EdRsR Salou (AC22kW);22;AC;;Avinguda Roma,11;Tarragona;43;Salou;;;POINT (1.132352 41.079048)
Ajuntament Cambrils;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;4106491;105732;EdRsR Cambrils 1 (7.5kW);75;AC;;Carrer de Robert Gerhard, 4;Tarragona;43;Cambrils;4;cotxe i moto;POINT (1.05732 41.06491)
22@;VIA PUBLICA;NORMAL;Schuko;41396934;2199915;30 AjBCN-22@ Ciutat de Granada;;;LC025;Carrer de la Ciutat de Granada, 19;Barcelona;8;Barcelona;1;cotxe i moto;POINT (2.199915 41.396934)
Institut Català d'Energia i Ajuntament de Reus;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4115472;111168;EdRR Reus Riera Miró (DC50kW AC43kW);50;AC-DC;PIRVEC-4;Riera d'Aragó, 30, ó Raval de Sant Pere, 27-29;Tarragona;43;Reus;2;cotxe;POINT (1.11168 41.15472)
Gas Natural Fenosa;;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4152427;242684;EdRR Mataró Tub Verd COFAST (DC50kW AC43kW);50;AC-DC;;Carretera N-II, km 644;Barcelona;8;Mataró;2;;POINT (2.42684 41.52427)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41416515;2180421;B:SM 26 - Pg. Maragall (C.A.P.);;;BSM028;Passeig  de Maragall, 54;Barcelona;8;Barcelona;6;cotxe i moto;POINT (2.180421 41.416515)
Institut Català d'Energia i Ajuntament de Mataró;;semiRAPID;2xMENNEKES.F;4154148;244324;EdRsR Mataró Muralla Presó (AC22kW);22;AC;;Muralla de la Presó, 11;Barcelona;8;Mataró;2;;POINT (2.44324 41.54148)
;;semiRAPID i NORMAL;MENNEKES.F+Schuko;411943;162413;EdRsR Cunit (AC22kW);22;AC;;Avinguda Sitges, 4A;Tarragona;17;Cunit;2;;POINT (1.62413 41.1943)
Gran Jonquera;APARCAMENT CC;NORMAL;MENNEKES.F+Schuko;4240251;288104;Gran Jonquera;;;;Avinguda de Galícia, 22-28;Girona;17;La Jonquera;6;cotxe i moto;POINT (2.88104 42.40251)
;;semiRAPID i NORMAL;MENNEKES.F+Schuko;4118619;151388;Caprabo Benzinera;;;;Avinguda Masos-Carretera N-340;Tarragona;43;El Vendrell;2;cotxe i moto;POINT (1.51388 41.18619)
Restaurant El Molí de Mallol;RESTAURANT;NORMAL;Schuko;413793661;11631832;Restaurant El Molí de Mallol;;;;Carrer  de la Muralla  de Santa Anna, 19;Tarragona;43;Montblanc;1;moto i cotxe;POINT (1.1631832 41.3793661)
AEB;VIA PUBLICA -VORERA;NORMAL;Schuko;41382069;2191673;87 AjBCN-ETRA COBRA (Vorera Associació SEBA);;;LC002;Passeig de Salvat Papasseit, 15 - Carrer Ginebra;Barcelona;8;Barcelona;2;moto;POINT (2.1916730000000006 41.382069)
;;semiRAPID i NORMAL;MENNEKES.F+Schuko;4155784;204247;EdRsR Cementiri de Terrassa (7.5kW);75;AC;;Carretera de Montcada, 779A;Barcelona;8;Terrassa;2;;POINT (2.04247 41.55784)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;4152733;23107;TESLA Destinació - Mas Salagros, Ecoresort & Ancient Baths (22kW);22;AC;;Riera de Vallromanes, S/N;Barcelona;8;Vallromanes;1;cotxe;POINT (2.3107 41.52733)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41401408;2133986;B:SM 12 - Ferran Casablancas;;;BSM003;Carrer de Josep Balari, 9;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.133986 41.401408)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41401794;2160702;B:SM 47 - Siracusa;;;BAMSA010;Carrer de Siracusa, 39 - 51;Barcelona;8;Barcelona;1;cotxe;POINT (2.160702 41.401794)
Ajuntament de Granollers;;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4160002;228025;EdRR Granollers (DC50kW AC43kW);50;AC-DC;;Carrer Camp de les Moreres, 25;Barcelona;8;Granollers;2;;POINT (2.28025 41.60002)
AMERSAM;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41153851;1101613;Aparcament Passeig Prim;;;;Camí de Riudoms, 27;Tarragona;43;Reus;2;cotxe i moto;POINT (1.101613 41.153851)
;;NORMAL;MENNEKES.F+Schuko;4137758;208867;Esplugues S.Magdalena;;;;Plaça Santa Magdalena, 4;Barcelona;8;Esplugues de Llobregat;1;cotxe i moto;POINT (2.08867 41.37758)
;;semiRAPID i NORMAL;MENNEKES.F+Schuko;4118305;56667;EdRsR Ascó-Unió (AC22kW);22;AC;;Carrer Unió, 8;Tarragona;43;Ascó;2;cotxe i moto;POINT (0.56667 41.18305)
Area Metropolitana de Barcelona;VIA PUBLICA (AMB);RAPID i NORMAL;CCS Combo2+ChadeMO+MENNEKES.M+shucko;4137443;207219;EdRR Sant Joan Despí-TV3 (DC50kW AC43kW) AMB3;50;AC-DC;AMB3;Carrer de la TV3, 1;Barcelona;8;Sant Joan Despí;4;cotxe i moto;POINT (2.07219 41.37443)
Ajuntament de Castelldefels;VIA PUBLICA;NORMAL;Schuko;41281941;1980239;Aparcament Arcadi Balaguer-Albert Einstein;;;;Carrer d'Arcadi Balaguer- Carrer d'Albert Einstein;Barcelona;8;Castelldefels;2;cotxe i moto;POINT (1.980239 41.281941)
AMERSAM;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41158966;1106615;Aparcament Llibertat;;;;Plaça Llibertat;Tarragona;43;Reus;4;cotxe i moto;POINT (1.106615 41.158966)
Leroy Merlin;APARCAMENT CC;NORMAL;Schuko;4148142;204547;CC Leroy Merlin Sant Cugat;;;;Parc. Activ. Econòmiques, Carretera de Rubí, s/n;Barcelona;8;Sant Cugat del Valles;;cotxe i moto;POINT (2.04547 41.48142)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41385662;2193913;B:SM 25 - P.R.Biomèdica;;;BSM026;Carrer del Doctor Aiguader, 88;Barcelona;8;Barcelona;7;cotxe i moto;POINT (2.193913 41.385662)
GAICU;VIA PUBLICA;semiRAPID;MENNEKES.F;41406959;2218313;(eTAXI) Garcia i Fària - Josep Pla (7.4kW);75;AC;QC005;Carrer Josep Pla-Passeig Garcia Fària, 87;Barcelona;8;Barcelona;2;taxi;POINT (2.218313 41.406959)
AMERSAM;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41152793;110902;Aparcament Baluard;;;;Raval Robuster, 47;Tarragona;43;Reus;2;cotxe i moto;POINT (1.10902 41.152793)
SERVICIOS MERIDIANA;APARCAMENT PUBLIC;NORMAL;Schuko;41408394;2177052;115 SERVICIOS MERIDIANA;;;;Carrer de Rosselló, 503-505;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.177052 41.40839400000001)
;VIA PUBLICA;NORMAL;Schuko;4138028;218729;AjBCN-Joan de Borbó;;;;Joan de Borbó, 12 - Maquinista;Barcelona;8;Barcelona;2;moto;POINT (2.18729 41.380280000000006)
AEB;VIA PUBLICA;NORMAL;Schuko;41396236;218219;91 AjBCN-ETRA COBRA;;;LC005;Carrer d'Ausiàs March, 118;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.18219 41.396236)
Gintra-Ap. Parc Central;APARCAMENT PUBLIC;NORMAL;Schuko;41544018552;2440582297;Gintra-Ap. Parc Central;;;;Camí de la Geganta, 15;Barcelona;8;Mataró;1;;POINT (2.440582297 41.544018552)
Area Metropolitana de Barcelona;VIA PUBLICA (AMB);RAPID i NORMAL;CCS Combo2+ChadeMO+MENNEKES.M+shucko;414828;205134;EdRR Sant Cugat (DC50kW AC43kW) AMB8;50;AC-DC;AMB8;Avinguda de la Via Augusta, 2-14;Barcelona;8;Sant Cugat del Vallès;2;;POINT (2.05134 41.4828)
;;semiRAPID;2xMENNEKES.F;4175166;187694;EdRsR Sant Fruitós del Bages 1 (AC22kW);22;AC;;Carretera de Vic, 96;Barcelona;8;Sant Fruitós de Bages;;;POINT (1.8769399999999998 41.75166)
Vincipark;APARCAMENT PUBLIC;NORMAL;Schuko;41393803;2138297;Aparcament Vincipark Ganduxer;;;;Carrer Ganduxer, 25-27;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.138297 41.393803)
SOFOS ENERGIA;APARCAMENT PRIVAT;NORMAL;Schuko;41614821;684832;P.I. CIM-Els Frares SOFOS ENERGIA;;;;Poligon CIM-Els Frares , Vial A , Nau 5;Lleida;25;Lleida;1;;POINT (0.684832 41.614821)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;4138537;215675;TESLA Destinació - Hotel Acevi Villarroel (11kW);11;AC;;Carrer Villaroel, 106;Barcelona;8;Barcelona;1;cotxe;POINT (2.15675 41.38537)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41384186;2122279;B:SM 38 - Tanatori Les Corts;;;BSM007;Avinguda  de Joan XXIII, 23 - 25;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.122279 41.384186)
CC Splau!;APARCAMENT CC;NORMAL;Schuko;4,13482E+16;2,07806E+15;CC Splau!;;;;Avinguda  Baix Llobregat, 121, CC Splau!;Barcelona;8;Cornellà de Llobregat;6;cotxe;POINT (2.0780575275421143 41.348210524810646)
;;semiRAPID;2xMENNEKES.F;4142394;178662;EdRsR Ajuntament de Sant Sadurní d'Anoia (AC7.5kW);75;AC;;Carrer de Sant Antoni, 20-26;Barcelona;8;Sant Sadurní d'Anoia;;;POINT (1.78662 41.42394)
SERVICIOS MERIDIANA;APARCAMENT PUBLIC;NORMAL;Schuko;41399605;2170186;114 SERVICIOS MERIDIANA;;;;Carrer de Mallorca, 335;Barcelona;8;Barcelona;6;cotxe i moto;POINT (2.170186 41.399605)
BIMSA;VIA PUBLICA;NORMAL;Schuko;41393227;2145783;Lateral-Muntanya Diagonal (Travessera Gràcia) 1;;;LC047;Avinguda Diagonal, 598;Barcelona;8;Barcelona;2;moto;POINT (2.145783 41.393227)
Aparcament Centre Olot;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;4218294;248422;Aparcament Centre Olot;;;;Passeig del Bisbe Ramon Guillamet, 7;Girona;17;Olot;2;cotxe;POINT (2.48422 42.18294)
Endesa;VIA PUBLICA;NORMAL;Schuko;4141396;2142913;01 AjBCN-Endesa-Clinica Delfos;;;LC015;Avinguda de Vallcarca, 154;Barcelona;8;Barcelona;2;moto;POINT (2.142913 41.41396)
Estabanell y Pahisa;VIA PUBLICA (codiQR);NORMAL;Schuko;4184919539;222780389;EP-Estabanell y Pahisa TONA;;;;Carretera Manresa, s/n;Barcelona;8;Tona;1;cotxe;POINT (2.22780389 41.84919539)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41379559;216201;B:SM 46 - Urgell;;;BAMSA003;Carrer del Comte d'Urgell, 14;Barcelona;8;Barcelona;1;cotxe;POINT (2.16201 41.379559)
Aparcament Vapor Turull;APARCAMENT PUBLIC;NORMAL;Schuko;41549386309;2111784403;Aparcament Vapor Turull;;;;Carrer de la Creueta;Barcelona;8;Sabadell;1;;POINT (2.111784403 41.549386309)
;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;4175166;187694;EdRsR Sant Fruitós de Bages (AC22kW);22;AC;;Carretera de Vic, 96;Barcelona;8;Sant Fruitós de Bages;2;cotxe i moto;POINT (1.8769399999999998 41.75166)
TABASA E.S. Tunel Vallvidrera;ESTACIÓ SERVEI;NORMAL;Schuko;41433258;2078548;97 TABASA E.S. Tunel Vallvidrera;;;;Carretera C-16, km 6,45;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.078548 41.433258)
Hotel Ciutat de Granollers;APARCAMENT HOTEL;NORMAL;MENNEKES.F+Schuko;4160092;229588;Hotel Ciutat de Granollers;;;;Carrer del Turó Groguet, 2;Barcelona;8;Granollers;1;cotxe;POINT (2.29588 41.60092)
Melià BCN;HOTEL;NORMAL;Schuko;41390865;2141604;Melià BCN;;;;Avinguda  Sarrià, 50;Barcelona;8;Barcelona;2;cotxe;POINT (2.141604 41.390865)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;4179054;30558;TESLA Destinació - Hostal de la Gavina (11kW);11;AC;;Plaça Rosaleda, S/N;Girona;17;S'Agaró;1;cotxe;POINT (3.0558 41.79054)
Endesa;VIA PUBLICA;NORMAL;Schuko;41381421;218197;19 AjBCN-Endesa-Correus-Via Laietana;;;LC001;Plaça Antoni Lòpez,  s/n;Barcelona;8;Barcelona;2;moto;POINT (2.18197 41.381421)
REGESA;APARCAMENT PUBLIC;NORMAL;Schuko;41392242;2139655;72 REGESA Wagner;;;;Plaça de Wagner, s/n;Barcelona;8;Barcelona;4;cotxe;POINT (2.139655 41.392242)
